# store-stride entry-capacity test
# access mode: store (strb), same fixed PC for victim train and trigger
# stride=320 rounds=1000 page_size=4096 access_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# STRIDE_LINES=5 TRAIN_ACCESSES=1 TRIGGER_ACCESSES=1 COMPETITOR_ACCESSES=1 PROBE_LINES=64 max_competitors=1024 page_step_pages=1
# victim accesses=2 train_only_accesses=1 trigger_accesses=1 stride_lines=5
# victim trigger lines: 5..5
# victim probe/predicted line: 10
# competitor accesses per page: 1 stores, stride_lines=5
# lower latency means that victim line was more likely prefetched
# no_trigger_n0_latency_ns=143
n	probe_line	offset_bytes	role	avg_ns	probes
889	10	640	predicted	144	1000
890	10	640	predicted	144	1000
891	10	640	predicted	144	1000
892	10	640	predicted	143	1000
893	10	640	predicted	143	1000
894	10	640	predicted	144	1000
895	10	640	predicted	144	1000
896	10	640	predicted	146	1000
897	10	640	predicted	143	1000
898	10	640	predicted	145	1000
899	10	640	predicted	144	1000
900	10	640	predicted	142	1000
901	10	640	predicted	143	1000
902	10	640	predicted	144	1000
903	10	640	predicted	143	1000
904	10	640	predicted	144	1000
905	10	640	predicted	144	1000
906	10	640	predicted	144	1000
907	10	640	predicted	142	1000
908	10	640	predicted	144	1000
909	10	640	predicted	144	1000
910	10	640	predicted	143	1000
911	10	640	predicted	137	1000
912	10	640	predicted	131	1000
913	10	640	predicted	143	1000
914	10	640	predicted	133	1000
915	10	640	predicted	137	1000
916	10	640	predicted	148	1000
917	10	640	predicted	140	1000
918	10	640	predicted	143	1000
919	10	640	predicted	144	1000
920	10	640	predicted	145	1000
921	10	640	predicted	144	1000
922	10	640	predicted	144	1000
923	10	640	predicted	140	1000
924	10	640	predicted	143	1000
925	10	640	predicted	141	1000
926	10	640	predicted	144	1000
927	10	640	predicted	142	1000
928	10	640	predicted	144	1000
929	10	640	predicted	143	1000
930	10	640	predicted	144	1000
931	10	640	predicted	143	1000
932	10	640	predicted	144	1000
933	10	640	predicted	146	1000
934	10	640	predicted	144	1000
935	10	640	predicted	152	1000
936	10	640	predicted	146	1000
937	10	640	predicted	145	1000
938	10	640	predicted	144	1000
939	10	640	predicted	144	1000
940	10	640	predicted	144	1000
941	10	640	predicted	143	1000
942	10	640	predicted	144	1000
943	10	640	predicted	145	1000
944	10	640	predicted	144	1000
945	10	640	predicted	145	1000
946	10	640	predicted	144	1000
947	10	640	predicted	143	1000
948	10	640	predicted	145	1000
949	10	640	predicted	144	1000
950	10	640	predicted	144	1000
951	10	640	predicted	144	1000
952	10	640	predicted	144	1000
953	10	640	predicted	144	1000
954	10	640	predicted	144	1000
955	10	640	predicted	145	1000
956	10	640	predicted	144	1000
957	10	640	predicted	144	1000
958	10	640	predicted	143	1000
959	10	640	predicted	144	1000
960	10	640	predicted	144	1000
961	10	640	predicted	144	1000
962	10	640	predicted	144	1000
963	10	640	predicted	143	1000
964	10	640	predicted	143	1000
965	10	640	predicted	142	1000
966	10	640	predicted	144	1000
967	10	640	predicted	144	1000
968	10	640	predicted	144	1000
969	10	640	predicted	143	1000
970	10	640	predicted	144	1000
971	10	640	predicted	143	1000
972	10	640	predicted	144	1000
973	10	640	predicted	144	1000
974	10	640	predicted	143	1000
975	10	640	predicted	144	1000
976	10	640	predicted	146	1000
977	10	640	predicted	143	1000
978	10	640	predicted	144	1000
979	10	640	predicted	144	1000
980	10	640	predicted	145	1000
981	10	640	predicted	136	1000
982	10	640	predicted	142	1000
983	10	640	predicted	138	1000
984	10	640	predicted	141	1000
985	10	640	predicted	138	1000
986	10	640	predicted	143	1000
987	10	640	predicted	144	1000
988	10	640	predicted	144	1000
989	10	640	predicted	147	1000
990	10	640	predicted	144	1000
991	10	640	predicted	145	1000
992	10	640	predicted	143	1000
993	10	640	predicted	144	1000
994	10	640	predicted	144	1000
995	10	640	predicted	150	1000
996	10	640	predicted	143	1000
997	10	640	predicted	143	1000
998	10	640	predicted	143	1000
999	10	640	predicted	145	1000
1000	10	640	predicted	144	1000
1001	10	640	predicted	144	1000
1002	10	640	predicted	144	1000
1003	10	640	predicted	144	1000
1004	10	640	predicted	144	1000
1005	10	640	predicted	144	1000
1006	10	640	predicted	144	1000
1007	10	640	predicted	144	1000
1008	10	640	predicted	144	1000
1009	10	640	predicted	144	1000
1010	10	640	predicted	144	1000
1011	10	640	predicted	144	1000
1012	10	640	predicted	143	1000
1013	10	640	predicted	144	1000
1014	10	640	predicted	143	1000
1015	10	640	predicted	143	1000
1016	10	640	predicted	143	1000
1017	10	640	predicted	144	1000
1018	10	640	predicted	144	1000
1019	10	640	predicted	144	1000
1020	10	640	predicted	143	1000
1021	10	640	predicted	143	1000
1022	10	640	predicted	144	1000
1023	10	640	predicted	145	1000
1024	10	640	predicted	146	1000
